name;question_text_en;option1_en;option2_en;option3_en;option4_en;question_text_ro;option1_ro;option2_ro;option3_ro;option4_ro
Visual Novel;How do you feel about visual novels?;I love visual novels, they offer immersive storytelling and decision-making.;I'm okay with them if they have engaging narratives and choices.;I'm not particularly interested in visual novels.;I strongly dislike visual novels, as they often lack gameplay elements.;Ce parere ai despre romanele vizuale?;Imi plac romanele vizuale, ele ofera o poveste imersiva si luarea deciziilor.;Ma descurc cu ele daca au povesti captivante si alegeri interesante.;Nu sunt prea interesat de romanele vizuale.;Imi displac puternic romanele vizuale, deoarece adesea lipsesc elementele de gameplay.
Third-Person Perspective;What is your preference regarding third-person perspective in games?;I enjoy third-person perspective, it offers a good balance between immersion and visibility.;I'm okay with it depending on the game.;I prefer first-person perspective.;I strongly prefer first-person perspective and find third-person games less immersive.;Care este preferinta ta in ceea ce priveste perspectiva third-person in jocuri?;Imi place perspectiva third-person, ofera un echilibru bun intre imersiune si vizibilitate.;Ma descurc cu ea in functie de joc.;Prefer perspectiva first-person.;Prefer puternic perspectiva first-person si consider jocurile third-person mai putin imersive.
Difficulty Level;How do you feel about difficulty levels in games?;I enjoy challenging difficulty levels, they add replay value and satisfaction.;I'm okay with them if there's a good range of options.;I prefer games with easier difficulty levels.;I strongly prefer games with easier difficulty levels, as I play games for relaxation.;Ce parere ai despre nivelurile de dificultate in jocuri?;Imi plac nivelurile de dificultate provocatoare, ele adauga valoare de rejucabilitate si satisfactie.;Ma descurc cu ele daca exista o gama buna de optiuni.;Prefer jocurile cu niveluri de dificultate mai usoare.;Prefer puternic jocurile cu niveluri de dificultate mai usoare, deoarece jocurile le folosesc pentru relaxare.
Multiple Endings;What is your opinion on games with multiple endings?;I love games with multiple endings, they encourage replayability and exploration.;I'm okay with them if the endings are well-executed and meaningful.;I'm not particularly interested in multiple endings.;I strongly dislike games with multiple endings, as they can feel arbitrary and unsatisfying.;Care este parerea ta despre jocurile cu mai multe finaluri?;Imi plac jocurile cu mai multe finaluri, ele incurajeaza rejucabilitatea si explorarea.;Ma descurc cu ele daca finalurile sunt bine realizate si semnificative.;Nu sunt prea interesat de jocurile cu mai multe finaluri.;Imi displac puternic jocurile cu mai multe finaluri, deoarece pot parea arbitrar si nesatisfacator.
Free to Play;How do you feel about free-to-play games?;I enjoy free-to-play games, they offer accessible gaming experiences.;I'm okay with them if they're not too pay-to-win.;I'm not particularly interested in free-to-play games.;I strongly dislike free-to-play games, as they often prioritize monetization over gameplay.;Ce parere ai despre jocurile free-to-play?;Imi plac jocurile free-to-play, ele ofera experiente de gaming accesibile.;Ma descurc cu ele daca nu sunt prea pay-to-win.;Nu sunt prea interesat de jocurile free-to-play.;Imi displac puternic jocurile free-to-play, deoarece adesea prioritizeaza monetizarea in detrimentul gameplay-ului.
Stealth;What is your preference for stealth mechanics in games?;I enjoy stealth mechanics, they add tension and strategy to gameplay.;I'm okay with them if they're well-implemented and balanced.;I'm not particularly interested in stealth mechanics.;I strongly dislike stealth mechanics, as they can feel tedious and frustrating.;Care este preferinta ta in ceea ce priveste mecanicile de stealth in jocuri?;Imi plac mecanicile de stealth, ele adauga tensiune si strategie in gameplay.;Ma descurc cu ele daca sunt bine implementate si echilibrate.;Nu sunt prea interesat de mecanicile de stealth.;Imi displac puternic mecanicile de stealth, deoarece pot parea plictisitoare si frustrante.
Character Creation;How do you feel about character creation in games?;I love character creation, it allows for personalization and immersion.;I'm okay with it if it's detailed and offers diverse options.;I'm not particularly interested in character creation.;I strongly dislike character creation, as I prefer predefined characters.;Ce parere ai despre crearea de personaje in jocuri?;Imi place crearea de personaje, permite personalizare si imersiune.;Ma descurc cu ea daca este detaliata si ofera optiuni diverse.;Nu sunt prea interesat de crearea de personaje.;Imi displac puternic crearea de personaje, deoarece prefer personaje predefinite.
Military;What is your opinion on military-themed games?;I enjoy military-themed games, they offer action-packed gameplay and often have interesting stories.;I'm okay with them if they're realistic and respectful.;I'm not particularly interested in military-themed games.;I strongly dislike military-themed games, as they can glorify violence and war.;Ce parere ai despre jocurile cu tematica militara?;Imi plac jocurile cu tematica militara, ele ofera gameplay plin de actiune si adesea au povesti interesante.;Ma descurc cu ele daca sunt realiste si respectuoase.;Nu sunt prea interesat de jocurile cu tematica militara.;Imi displac puternic jocurile cu tematica militara, deoarece pot glorifica violenta si razboiul.
Hack and Slash;How do you feel about hack and slash gameplay?;I enjoy hack and slash gameplay, it's fast-paced and satisfying.;I'm okay with it if it's done well and has depth.;I'm not particularly interested in hack and slash gameplay.;I strongly dislike hack and slash gameplay, as it can feel mindless and repetitive.;Cum te simti in legatura cu gameplay-ul de tip hack and slash?;Imi place gameplay-ul de tip hack and slash, este alert si satisfacator.;Ma descurc cu el daca este bine realizat si are adancime.;Nu sunt prea interesat de gameplay-ul de tip hack and slash.;Imi displac puternic gameplay-ul de tip hack and slash, deoarece poate parea mecanic si repetitiv.
Microtransaction;What is your opinion on in-game microtransactions?;I'm okay with them if they're purely cosmetic.;I'm okay with them if they don't affect gameplay.;I dislike them and prefer games without them.;I strongly dislike them and avoid games that have them.;Ce parere ai despre microtranzactiile din jocuri?;Ma descurc cu ele daca sunt pur cosmetice.;Ma descurc cu ele daca nu afecteaza gameplay-ul.;Nu imi plac si prefer jocurile fara ele.;Imi displac puternic si evit jocurile care le au.
